Symbol,Name,LastSale, MarketCap ,IPOyear,Sector,industry,Summary Quote
TROW,"T. Rowe Price Group, Inc.",108.56, $25.57B ,1986,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/trow
TRPX,Therapix Biosciences Ltd.,2.18, $7.64M ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/trpx
TRS,TriMas Corporation,29.25, $1.32B ,2007,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/trs
TRST,TrustCo Bank Corp NY,7.88, $763.65M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/trst
TRUP,"Trupanion, Inc.",31.2, $1.09B ,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/trup
TRVG,trivago N.V.,4.86, $1.71B ,2016,Technology,EDP Services,https://www.nasdaq.com/symbol/trvg
TRVI,"Trevi Therapeutics, Inc.",4.55, $81.15M ,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/trvi
TRVN,"Trevena, Inc.",0.9203, $85.19M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/trvn
TSBK,"Timberland Bancorp, Inc.",24.19, $201.77M ,n/a,Finance,Banks,https://www.nasdaq.com/symbol/tsbk
TSC,"TriState Capital Holdings, Inc.",19.89, $583.29M ,2013,Finance,Major Banks,https://www.nasdaq.com/symbol/tsc
TSCAP,"TriState Capital Holdings, Inc.",26.67, $782.12M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tscap
TSCBP,"TriState Capital Holdings, Inc.",26.5, $74.2M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tscbp
TSCO,Tractor Supply Company,104.24, $12.43B ,1994,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/tsco
TSEM,Tower Semiconductor Ltd.,19.54, $2.08B ,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsem
TSG,The Stars Group Inc.,13.43, $3.86B ,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/tsg
TSLA,"Tesla, Inc. ",235, $42.09B ,2010,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/tsla
TSRI,"TSR, Inc.",4.31, $8.46M ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/tsri
TTD,"The Trade Desk, Inc.",264.64, $11.9B ,2016,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ttd
TTEC,"TTEC Holdings, Inc.",45.86, $2.13B ,1996,Technology,Professional Services,https://www.nasdaq.com/symbol/ttec
TTEK,"Tetra Tech, Inc.",79.52, $4.35B ,1991,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/ttek
TTGT,"TechTarget, Inc.",23.77, $657.29M ,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ttgt
TTMI,"TTM Technologies, Inc.",10.64, $1.12B ,2000,Technology,Electrical Products,https://www.nasdaq.com/symbol/ttmi
TTNP,"Titan Pharmaceuticals, Inc.",0.731, $10.43M ,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ttnp
TTOO,"T2 Biosystems, Inc.",0.8101, $36.08M ,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ttoo
TTPH,"Tetraphase Pharmaceuticals, Inc.",0.29, $15.75M ,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ttph
TTS,"Tile Shop Hldgs, Inc.",2.64, $134.41M ,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/tts
TTTN,UP Fintech China-U.S. Internet Titans ETF,26.62, $8.09M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tttn
TTWO,"Take-Two Interactive Software, Inc.",127.53, $14.43B ,1997,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ttwo
TUES,Tuesday Morning Corp.,1.47, $68.66M ,1999,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/tues
TUR,iShares MSCI Turkey ETF,25.49, $347.94M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tur
