Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GGO,The Gabelli Go Anywhere Trust,15.69,25302509.88,n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/ggo
PLAG,Planet Green Holdings Corp,3.2007,25214362.44,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/plag
GMO,"General Moly, Inc",0.199,23943456.52,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo
RVP,"Retractable Technologies, Inc.",0.72,23525966.88,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rvp
PZG,Paramount Gold Nevada Corp.,0.88,23337559.52,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pzg
MSN,Emerson Radio Corporation,1.07,22515637.64,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/msn
ISR,"IsoRay, Inc.",0.3299,22214821.71,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr
FTNW,"FTE Networks, Inc.",0.8501,22170765.27,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw
MLSS,"Milestone Scientific, Inc.",0.54,22044088.98,n/a,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss
SDPI,"Superior Drilling Products, Inc.",0.8778,21975514.96,n/a,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/sdpi
ENSV,ENSERVCO Corporation,0.372,20203256.39,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
NNVC,"NanoViricides, Inc.",0.2545,19529057.50,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc
CKX,"CKX Lands, Inc.",10,19424950.00,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ckx
DGSE,"DGSE Companies, Inc.",0.71,19116310.51,n/a,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/dgse
MNI,McClatchy Company (The),2.34,18549334.44,n/a,1988,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni
XPL,Solitario Zinc Corp.,0.3117,18122663.78,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/xpl
AAMC,Altisource Asset Management Corp,11.35,18054887.65,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
PW,Power REIT,9.44,17680544.16,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pw
OGEN,Oragenics Inc.,0.3833,17679636.99,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ogen
BGI,Birks Group Inc.,0.9765,17538800.30,n/a,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/bgi
