Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,16.38," 271,865,363 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spxx
NIM,Nuveen Select Maturities Municipal Fund,10.43," 129,805,136 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/nim
NXP,Nuveen Select Tax Free Income Portfolio,15.73," 260,650,976 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxp
NXQ,Nuveen Select Tax Free Income Portfolio II,14.54," 257,557,591 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxq
NXR,Nuveen Select Tax Free Income Portfolio III,15.7," 204,815,292 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxr
NSL,Nuveen Senior Income Fund,5.76," 222,402,079 ",n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/nsl
JSD,Nuveen Short Duration Credit Opportunities Fund,15.3," 154,463,414 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/jsd
NBB,Nuveen Taxable Municipal Income Fund,21.99," 601,556,043 ",n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/nbb
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,16.5," 238,991,610 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jtd
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,11.04," 152,913,903 ",n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/jta
NTX,Nuveen Texas Quality Municipal Income Fund,14.33," 142,706,881 ",n/a,1991,n/a,n/a,https://www.nasdaq.com/symbol/ntx
NPV,Nuveen Virginia Quality Municipal Income Fund,13.66," 244,216,854 ",n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/npv
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund,13.78," 180,478,644 ",n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/niq
JMT,Nuven Mortgage Opportunity Term Fund 2,22.42," 109,322,319 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jmt
NVT,nVent Electric plc,21.58," 3,649,469,395 ",n/a,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nvt
NVR,"NVR, Inc.",3559.37," 13,010,451,261 ",n/a,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/nvr
CTEST,NYSE Test One,25.05, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest
CTEST.E,NYSE Test One,n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest.e
CTEST.G,NYSE Test One,n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest.g
CTEST.L,NYSE Test One,n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest.l
CTEST.O,NYSE Test One,n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest.o
CTEST.S,NYSE Test One,n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest.s
CTEST.V,NYSE Test One,n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ctest.v
OAC.U,Oaktree Acquisition Corp.,n/a, -   ,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/oac.u
OAK,"Oaktree Capital Group, LLC",51.74," 8,259,317,046 ",n/a,2012,Finance,Investment Managers,https://www.nasdaq.com/symbol/oak
OAK^A,"Oaktree Capital Group, LLC",26.38, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oak^a
OAK^B,"Oaktree Capital Group, LLC",26.14, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oak^b
OSLE,Oaktree Specialty Lending Corporation,25.65, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/osle
OMP,Oasis Midstream Partners LP,16.53," 558,634,590 ",n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/omp
OAS,Oasis Petroleum Inc.,3," 965,614,311 ",n/a,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oas
OBE,Obsidian Energy Ltd.,1.26," 91,959,180 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/obe
OXY,Occidental Petroleum Corporation,44.76," 40,036,914,774 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oxy
OII,"Oceaneering International, Inc.",12.59," 1,245,522,443 ",n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/oii
OZM,Och-Ziff Capital Management Group LLC,24," 1,198,285,104 ",n/a,2007,Finance,Investment Managers,https://www.nasdaq.com/symbol/ozm
OCN,Ocwen Financial Corporation,1.51," 203,239,655 ",n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ocn
OFG,OFG Bancorp,20.79," 1,067,505,294 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ofg
OFG^A,OFG Bancorp,25.8615, -   ,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ofg^a
